cik,fiscal_year_end,industry_name,sector_name,lat,lng,Issuer Name,Issuer Ticker,Firm ID,Firm Name,Firm Issuing State,Firm Issuing City,Engagement Partner ID,Engagement Partner Name,filing_date,business_state
24491,1231,Tires & inner tubes,Rubber and miscellaneous plastics products,41.0269642,-83.6623712,Cooper Tire & Rubber Company,CTB,42,Ernst & Young LLP,Ohio,Toledo,4201733,Joseph Lenglet,3/9/2020,OH
768408,331,Medicinal chemicals & botanical products,Chemicals and allied products,19.7150875,-156.0345694,Cyanotech Corporation,CYAN,248,Grant Thornton LLP,California,Newport Beach,24800127,Douglas McCombs,7/6/2019,HI
1490873,131,Retail-miscellaneous retail,Miscellaneous retail,20.8530106,-156.3117159,"Eco Science Solutions, Inc.",ESSI,5041,B F Borgers CPA PC,Colorado,Lakewood,504100001,Ben Borgers,7/1/2019,HI
63330,1231,Real estate,Real estate,20.9989817,-156.6509514,"Maui Land & Pineapple Company, Inc.",MLP,2866,Accuity LLP,Hawaii,Honolulu,286600001,Cory Kubota,2/29/2020,HI
701347,1231,State commercial banks,Depository institutions,21.3078264,-157.8605414,Central Pacific Financial Corp.,CPF,173,Crowe LLP,California,Sacramento,17307506,Michael Van Duyn,3/2/2020,HI
36377,1231,State commercial banks,Depository institutions,21.3078606,-157.8615893,"FIRST HAWAIIAN, INC.",FHB,34,Deloitte &  Touche LLP,Hawaii,Honolulu,3411412,Christopher Monteilh,3/13/2020,HI
1545654,1231,Real estate investment trusts,Holding and other investment offices,21.3079324,-157.8625906,"Alexander & Baldwin, Inc.",ALEX,34,Deloitte &  Touche LLP,Hawaii,Honolulu,3411231,Kenneth Udenze,3/20/2020,HI
46207,1231,Electric services,"Electric, gas, and sanitary services",21.3081985,-157.8608441,HAWAIIAN ELECTRIC CO INC,HE1,34,Deloitte &  Touche LLP,Hawaii,Honolulu,3411074,Joseph Young,3/26/2020,HI
354707,1231,Electric services,"Electric, gas, and sanitary services",21.3081985,-157.8608441,HAWAIIAN ELECTRIC INDUSTRIES INC,HE,34,Deloitte &  Touche LLP,Hawaii,Honolulu,3411074,Joseph Young,3/26/2020,HI
46195,1231,State commercial banks,Depository institutions,21.3084038,-157.8623345,Bank of Hawaii Corporation,BOH,42,Ernst & Young LLP,Hawaii,Honolulu,4200394,Witcliff Cammock,3/10/2020,HI
1544238,1231,Pharmaceutical preparations,Chemicals and allied products,21.3088588,-157.8087755,"Cardax, Inc.",CDXI,2258,"KBL, LLP",New York,New York,225890003,Michael Pollack,3/31/2019,HI
1731536,1231,Blank checks,Holding and other investment offices,21.3089804,-157.8636074,Trinity Merger Corp.,TMCXU; TMCX; TMCXW,42,Ernst & Young LLP,Hawaii,Honolulu,4200124,Jeffrey Bartlett,6/20/2019,HI
10048,930,Crude petroleum & natural gas,Oil and gas extraction,21.3091923,-157.8595627,"Barnwell Industries, Inc.",BRN; BNW.1,185,KPMG LLP,Hawaii,Honolulu,18500530,Roger Power,1/22/2020,HI
