cik,fiscal_year_end,industry_name,sector_name,lat,lng,Issuer Name,Issuer Ticker,Firm ID,Firm Name,Firm Issuing State,Firm Issuing City,Engagement Partner ID,Engagement Partner Name,filing_date,business_state
1701541,1231,"Biological products, (no disgnostic substances)",Chemicals and allied products,42.3623586,-71.0823452,"Black Diamond Therapeutics, Inc.",BDTX,238,PricewaterhouseCoopers LLP,Massachusetts,Boston,23800316,James Connolly,1/29/2020,MA
1495320,201,Leather & leather products,Leather and leather products,40.95824,-85.3015035,"Vera Bradley, Inc.",VRA,34,Deloitte &  Touche LLP,Indiana,Indianapolis,3411593,Elizabeth Forman,4/22/2019,IN
1393434,1231,Pharmaceutical preparations,Chemicals and allied products,42.5084711,-71.2455869,"OCULAR THERAPEUTIX, INC",OCUL,238,PricewaterhouseCoopers LLP,Massachusetts,Boston,23800611,Mark Barsanti,3/26/2019,MA
80172,1231,"Ordnance & accessories, (no vehicles/guided missiles)",Fabricated metal products,44.8593333,-91.4541292,"National Presto Industries, Inc.",NPK,243,"BDO USA, LLP",Wisconsin,Milwaukee,24311572,Jay Luedtke,3/14/2020,WI
1524223,1231,Investment advice,"Security, commodity brokers, and services",43.0422661,-77.4568112,"Manning & Napier, Inc.",MN; 6212B,238,PricewaterhouseCoopers LLP,New York,Rochester,23800188,John Satelmajer,4/25/2019,NY
1791091,1231,Blank checks,Holding and other investment offices,40.7578387,-73.976442,Healthcare Merger Corp.,HCCOU; HCCO; HCCOW,688,Marcum LLP,New York,New York,68800157,Janet Levy,3/25/2020,NY
1753706,1231,Blank checks,Holding and other investment offices,40.7629384,-73.978958,Act II Global Acquisition Corp.,ACTTU; ACTT; ACTTW; 8730B,688,Marcum LLP,New York,New York,68800123,Natalie Verbanac,5/9/2019,NY
1494582,1231,Real estate operators (no developers) & lessors,Real estate,41.2561081,-95.9351415,Boston Omaha Corporation,BOMN; 7711B,206,"MaloneBailey, LLP",Texas,Houston,20600004,James Thompson,3/29/2019,NE
1161582,1231,"Glass products, made of purchased glass","Stone, clay, glass, and concrete products",47.6549597,-122.2059371,"GrowLife, Inc.",PHOT,5797,S D Mayer & Associates,Washington,Seattle,579700101,Christie Cardwell,4/8/2019,WA
1642862,NA,NA,NA,37.4004556,-122.1930073,"Venture Lending & Leasing VIII, Inc.",NA,34,Deloitte &  Touche LLP,California,San Francisco,3411647,Robert Lee,4/16/2019,CA
