cik,fiscal_year_end,industry_name,sector_name,lat,lng,Issuer Name,Issuer Ticker,Firm ID,Firm Name,Firm Issuing State,Firm Issuing City,Engagement Partner ID,Engagement Partner Name,filing_date,business_state
24491,1231,Tires & inner tubes,Rubber and miscellaneous plastics products,41.0269642,-83.6623712,Cooper Tire & Rubber Company,CTB,42,Ernst & Young LLP,Ohio,Toledo,4201733,Joseph Lenglet,3/9/2020,OH
894671,1231,State commercial banks,Depository institutions,38.8096681,-82.205488,Ohio Valley Banc Corp.,OVBC,173,Crowe LLP,Kentucky,Louisville,17302449,Jennifer Monaghan,3/18/2020,OH
819220,331,Commercial printing,Printing and publishing,39.0658787,-84.2495363,Multi-Color Corporation,LABL,248,Grant Thornton LLP,Michigan,Southfield,24800213,James Trouba,6/18/2019,OH
832428,1231,Television broadcasting stations,Communications,39.0992627,-84.5103597,E.W. SCRIPPS Co,SSP; 5462B,34,Deloitte &  Touche LLP,Ohio,Cincinnati,3411587,Lisa Vannis,3/26/2020,OH
723258,1231,Life insurance,Insurance carriers,39.0998063,-84.5072233,Great American Life Insurance Company,NA,42,Ernst & Young LLP,Ohio,Cincinnati,4203024,Petrus Theron,5/3/2019,OH
1042046,1231,"Fire, marine & casualty insurance",Insurance carriers,39.0998063,-84.5072233,"American Financial Group, Inc.",AFG; AFE,42,Ernst & Young LLP,Ohio,Cincinnati,4203024,Petrus Theron,3/12/2020,OH
1326771,1231,Federal & federally-sponsored credit agencies,Nondepository credit institutions,39.1001877,-84.5085859,Federal Home Loan Bank of Cincinnati,NA,238,PricewaterhouseCoopers LLP,Ohio,Cincinnati,23800782,Julie Ferguson,4/24/2019,OH
716133,1231,Telephone communications (no radiotelephone),Communications,39.1003055,-84.5086299,CINCINNATI BELL INC,CBB; CBB.PB,34,Deloitte &  Touche LLP,Ohio,Cincinnati,3410763,Michael Fox,3/17/2020,OH
708955,1231,National commercial banks,Depository institutions,39.1016183,-84.5083716,First Financial Bancorp.,FFBC; FFBCW,173,Crowe LLP,Indiana,Indianapolis,17303443,Kara Baldwin,2/28/2020,OH
19584,1231,Services-home health care services,Health services,39.1016183,-84.5083716,CHEMED CORP,CHE,238,PricewaterhouseCoopers LLP,Ohio,Cincinnati,23800301,Todd Klimek,3/12/2020,OH
