Firm Name,n
Ernst & Young LLP,967
Deloitte &  Touche LLP,772
PricewaterhouseCoopers LLP,683
KPMG LLP,641
"BDO USA, LLP",255
Grant Thornton LLP,224
Marcum LLP,180
RSM US LLP,148
Crowe LLP,92
Moss Adams LLP,85
B F Borgers CPA PC,83
"MaloneBailey, LLP",78
"WithumSmith+Brown, PC",57
"M&K CPAS, PLLC",55
EisnerAmper LLP,50
RBSM LLP,47
"Baker Tilly Virchow Krause, LLP",44
"Plante & Moran, PLLC",42
"BKD, LLP",41
"Sadler, Gibb & Associates, LLC",37
Friedman LLP,36
CohnReznick LLP,35
Haynie & Company,32
Dixon Hughes Goodman LLP,29
"Fruci & Associates II, PLLC",27
Mayer Hoffman McCann P.C.,27
"Prager Metis CPAs, LLC",27
Squar Milner LLP,27
Cherry Bekaert LLP,26
"Liggett & Webb, P.A.",25
"Boyle CPA, LLC",21
"Weinberg & Company, P.A.",21
BPM LLP,19
"Turner, Stone & Company, L.L.P.",18
"Wolf & Company, P.C.",18
KCCW Accountancy Corp.,17
"S. R. Snodgrass, P.C.",17
"Heaton & Company, PLLC",16
"Salberg & Company, P.A.",16
OUM & Co. LLP,15
"Yount, Hyde & Barbour, P.C.",15
Daszkal Bolton LLP,14
"Elliott Davis, LLC",14
"Freed Maxick CPAs, P.C.",14
"Weaver and Tidwell, L.L.P.",14
Whitley Penn LLP,14
Haskell & White LLP,13
Eide Bailly LLP,12
D. Brooks and Associates CPA's P.A.,11
DBBMCKENNON,11
"DeCoria, Maichel & Teague, PS",11
"Hall & Company Certified Public Accountants & Consultants, Inc.",11
"Rosenberg Rich Baker Berman, P.A.",11
Assurance Dimensions,10
"LBB & Associates Ltd., LLP",10
Spicer Jeffries LLP,10
"Thayer O'Neal Company, LLC",9
Armanino LLP,8
KMJ Corbin & Company LLP,8
Mazars USA LLP,8
"Accell Audit & Compliance, P.A.",7
"AMC Auditing, LLC",7
Boulay PLLP,7
"Brown, Edwards & Company, L.L.P.",7
HoganTaylor LLP,7
"L J Soldinger Associates, LLC",7
"MICHAEL GILLESPIE & ASSOCIATES, PLLC",7
